Bot_Start_Date,Bot_Start_Time,Arb_Time,Exchange,Initial_USD,First_Market,Second_Market,Third_Market,Spread,Estimated_Profit
2020-08-01,15:26:28.806799,2020-08-01 15:49:13.185799,Binance,10,VIB/ETH,VIB/BTC,ETH/BTC,0.006342163907904386,0.11389005152449005
2020-08-01,15:26:28.806799,2020-08-01 15:49:19.173558,Binance,10,VTHO/BNB,VTHO/BUSD,BNB/BUSD,0.0015531198382063849,0.06575943858789346
2020-08-01,15:26:28.806799,2020-08-01 15:49:22.179105,Binance,2.024521262,WABI/BNB,WABI/BTC,BNB/BTC,0.0011310471071769878,0.008382443354654996
2020-08-01,15:26:28.806799,2020-08-01 15:49:25.425519,Binance,4.207545968,WAN/BNB,WAN/BTC,BNB/BTC,0.005600831342279771,0.03628451954666642
2020-08-01,15:26:28.806799,2020-08-01 15:49:28.163372,Binance,10,WAVES/BNB,WAVES/BTC,BNB/BTC,0.0014927614211586615,0.06515282742163286
2020-08-01,15:26:28.806799,2020-08-01 15:49:37.234868,Binance,8.9630951424,WIN/TRX,WIN/BNB,TRX/BNB,0.00490146195956091,0.07100748448728234
2020-08-01,15:26:28.806799,2020-08-01 15:49:44.670431,Binance,0.4902703488,WRX/BNB,WRX/BTC,BNB/BTC,0.0037659497538564063,0.0033256411749372876
2020-08-01,15:26:28.806799,2020-08-01 15:49:47.674758,Binance,10,WTC/BNB,WTC/BTC,BNB/BTC,0.005268373976902474,0.10309830127285258
2020-08-01,15:26:28.806799,2020-08-01 15:50:00.681796,Binance,10,XRP/BNB,XRP/BKRW,BNB/BKRW,0.02008386784978793,0.25199624221524886
2020-08-01,15:26:28.806799,2020-08-01 15:50:03.670480,Binance,0.08133674293775203,XRP/BTC,XRP/BKRW,BTC/BKRW,0.014831586157823007,0.0013716870622479478
2020-08-01,15:26:28.806799,2020-08-01 15:50:06.675327,Binance,1.1698537308,XRP/ETH,XRP/BKRW,ETH/BKRW,0.020315148112381363,0.028552189850527293
2020-08-01,15:26:28.806799,2020-08-01 15:50:14.675952,Binance,4.2127281174,XVG/ETH,XVG/BTC,ETH/BTC,0.01113791472949165,0.06400228487948192
2020-08-01,15:26:28.806799,2020-08-01 15:50:28.671329,Binance,0.6072350242,ZEN/BNB,ZEN/BTC,BNB/BTC,0.0011267082274811734,0.0025115879040032256
